date,portfolio_total
2019-09-25,499505.9403900146
2019-09-26,498662.93640648935
2019-09-27,498531.7475717001
2019-09-30,498855.644999814
2019-10-01,499225.00898120453
2019-10-02,499250.09946424054
2019-10-03,498785.3260712391
2019-10-04,498683.4525616766
2019-10-07,499174.739315178
2019-10-08,498928.73920513835
2019-10-09,498738.53835007397
2019-10-10,498934.13859279174
2019-10-11,499087.0164389455
2019-10-14,499401.0455474117
2019-10-15,499484.626691151
2019-10-16,499099.77018740395
2019-10-17,498814.75934394
2019-10-18,498698.20145721553
2019-10-21,498758.57010474993
2019-10-22,498723.45805753063
2019-10-23,499007.83216440846
2019-10-24,499056.6763896606
2019-10-25,498938.0487851041
2019-10-28,499084.2819029602
2019-10-29,498994.504819763
2019-10-30,499249.4622838915
2019-10-31,499223.06114658574
2019-11-01,498981.57579002215
2019-11-04,499200.8509695547
2019-11-05,499488.5727019822
2019-11-06,499901.5612855198
2019-11-07,499682.3020672976
2019-11-08,499870.447489968
2019-11-11,500021.33100661146
2019-11-12,499799.60032430326
2019-11-13,499379.5594542466
2019-11-14,499378.1462667776
2019-11-15,499506.799310939
2019-11-18,499603.87054243294
2019-11-19,499644.61191499495
2019-11-20,499830.31873978965
2019-11-21,500275.0473209578
2019-11-22,499920.78845450317
2019-11-25,500100.5116657611
2019-11-26,499938.3315098434
2019-11-27,500625.14223703917
2019-11-29,500862.34925718076
2019-12-02,500060.6773862019
2019-12-03,499438.28114328254
2019-12-04,499471.5821169125
2019-12-05,499815.096521372
2019-12-06,500421.8370162208
2019-12-09,500201.6943983627
2019-12-10,499886.8106198812
2019-12-11,500363.2171032033
2019-12-12,500426.69775725366
2019-12-13,500147.4467225809
2019-12-16,500461.6461435194
2019-12-17,500743.6317741412
2019-12-18,500939.0539267553
2019-12-19,501823.96306170215
2019-12-20,501964.9666457619
2019-12-23,501304.2719680562
2019-12-24,501122.4666057449
2019-12-26,501748.86722125154
2019-12-27,502298.8915991336
2019-12-30,501881.5971739837
2019-12-31,501345.4034620943
2020-01-02,501538.64810381125
2020-01-03,501149.65586822125
2020-01-06,501743.8498523078
2020-01-07,501969.2021219054
2020-01-08,502957.79362813005
2020-01-09,502866.0718370129
2020-01-10,502703.5224145629
2020-01-13,503338.4067032282
2020-01-14,503399.1433837544
2020-01-15,503347.9285994904
2020-01-16,503280.13052101823
2020-01-17,503451.6795324242
2020-01-21,502982.31021706894
2020-01-22,502892.2738179481
2020-01-23,503984.12928290444
2020-01-24,504015.39545455924
2020-01-27,503058.63352924335
2020-01-28,503286.9655875014
2020-01-29,503068.7605757713
2020-01-30,503794.3501243
2020-01-31,503764.34040733334
2020-02-03,504425.9791231422
2020-02-04,505491.5564124107
2020-02-05,505907.0840768652
2020-02-06,506332.03612214
2020-02-07,506076.4307697951
2020-02-10,506392.98798686755
2020-02-11,506469.9110912238
2020-02-12,506874.829393345
2020-02-13,506833.46414200217
2020-02-14,507445.10783035425
2020-02-18,508167.3987223096
2020-02-19,507919.8016996699
2020-02-20,507692.38913808163
2020-02-21,506963.7637854224
2020-02-24,504201.7188311453
2020-02-25,502227.3088264952
2020-02-26,503421.24897482956
2020-02-27,501642.97648789245
2020-02-28,502276.54500459315
2020-03-02,503992.55680870847
2020-03-03,501441.91896292724
2020-03-04,504176.72678137815
2020-03-05,502517.34651281865
2020-03-06,501017.95559509785
2020-03-09,496432.147311529
2020-03-10,499476.68852202734
2020-03-11,496773.53890858486
2020-03-12,491080.60245717823
2020-03-13,495429.7418319436
2020-03-16,488444.5518226372
2020-03-17,491785.18326131307
2020-03-18,490668.05062194023
2020-03-19,492109.08655048866
2020-03-20,490762.2644373013
2020-03-23,492249.10009123007
2020-03-24,494630.6863138301
2020-03-25,493672.1669762513
2020-03-26,497222.6188423807
2020-03-27,495845.29315083666
2020-03-30,498491.67077616276
2020-03-31,498206.89675336087
2020-04-01,495372.9222080423
2020-04-02,496584.6688443204
2020-04-03,495755.99166160595
2020-04-06,499377.61419246724
2020-04-07,499266.1916434012
2020-04-08,500580.0829469457
2020-04-09,500388.3556217046
2020-04-13,502720.9100338778
2020-04-14,505777.3217861667
2020-04-15,506222.1259697456
2020-04-16,508037.0002705303
2020-04-17,507781.3454016377
2020-04-20,508472.84511569515
2020-04-21,506216.8271229951
2020-04-22,506519.5289054415
2020-04-23,507287.17117016244
2020-04-24,508119.57678996486
2020-04-27,507712.27901192586
2020-04-28,505893.0565876442
2020-04-29,509476.8345441872
2020-04-30,510045.60986403236
2020-05-01,507006.44393532997
2020-05-04,509584.8686030574
2020-05-05,510328.6156940804
2020-05-06,510631.9938451191
2020-05-07,511225.2124283185
2020-05-08,512654.54030675226
2020-05-11,513622.29617420863
2020-05-12,511767.2516510686
2020-05-13,510955.8914649486
2020-05-14,511396.35570386687
2020-05-15,512309.24685257603
2020-05-18,513378.7009943454
2020-05-19,513673.83921083325
2020-05-20,515880.8797116563
